lifeSpan,viability,meanViability,currentVariance,standardDeviation,temp,energy,moisture,pain,stress,libido,glucose
0,0.3099999999999999992251568473,0.3099999999999999992251568473,0,0.0,0.3649999999999999954550244929,0.4899999999999999997918331829,0.4899999999999999997918331829,0,0.4899999999999999997918331829,1,0
2,0.3083333333333333325237957112,0.3091666666666666658744762792,3.472222222222222366782511111E-7,0.0005892556509887896,0.3599999999999999953509410843,0.4799999999999999995836663658,0.4799999999999999995836663658,0,0.4799999999999999995836663658,1,0
3,0.3067222222222222213668108015,0.3083518518518518510385877866,0.000001116712391403749483867858581,0.0010567461338484988,0.3553333333333333285131150347,0.4699999999999999993754995487,0.4699999999999999993754995487,0,0.4699999999999999993754995487,1,0
4,0.3051666666666666657542021183,0.3075555555555555547174913695,0.000002264231824417009732632190894,0.0015047364634436853,0.3509999999999999949415463440,0.4599999999999999991673327316,0.4599999999999999991673327316,0,0.4599999999999999991673327316,1,0
5,0.3036666666666666656859696617,0.306777777777777776911187028,0.00000374718792866941039724045053,0.0019357654632391318,0.3469999999999999946362350122,0.4499999999999999989591659145,0.4499999999999999989591659145,0,0.4499999999999999989591659145,1,0
6,0.3022222222222222211621134312,0.3060185185185185176196747618,0.000005524634202103338315167674223,0.002350454041691379,0.3433333333333333275971810394,0.4399999999999999987509990974,0.4399999999999999987509990974,0,0.4399999999999999987509990974,1,0
7,0.3008333333333333321826334275,0.3052777777777777768429545711,0.000007557270233196159747094732036,0.0027490489688610786,0.3399999999999999938243844255,0.4299999999999999985428322803,0.4299999999999999985428322803,0,0.4299999999999999985428322803,1,0
8,0.2994999999999999988400482357,0.3045555555555555545925912792,0.000009807441700960220274591768041,0.0031316835250325375,0.3369999999999999938729566828,0.4199999999999999983346654632,0.4199999999999999983346654632,0,0.4199999999999999983346654632,1,0
9,0.2982222222222222210418392703,0.3038518518518518508647299449,0.00001223914037494284502784725627,0.003498448281015863,0.3343333333333333271877862991,0.4099999999999999981264986461,0.4099999999999999981264986461,0,0.4099999999999999981264986461,1,0
10,0.2969999999999999987880065313,0.3031666666666666656570576035,0.00001481800411522633855244774191,0.0038494160745788887,0.3319999999999999937688732743,0.3999999999999999979183318290,0.3999999999999999979183318290,0,0.3999999999999999979183318290,1,0
12,0.2958333333333333320785500188,0.3024999999999999989681023685,0.00001751131687242798481279372461,0.0041846525390321215,0.3299999999999999936162176084,0.3899999999999999977101650119,0.3899999999999999977101650119,0,0.3899999999999999977101650119,1,0
13,0.2947222222222222209134697332,0.3018518518518518507968829822,0.00002028800868770004719385843632,0.0045042212076784206,0.3283333333333333267298193014,0.3799999999999999975019981948,0.3799999999999999975019981948,0,0.3799999999999999975019981948,1,0
15,0.2936666666666666652927656737,0.3012222222222222211427201123,0.00002311865569272976850216014525,0.004808186320508989,0.3269999999999999931096783534,0.3699999999999999972938313777,0.3699999999999999972938313777,0,0.3699999999999999972938313777,1,0
17,0.2926666666666666653089564262,0.3006111111111111100117369919,0.00002597548010973937086883000089,0.005096614573394713,0.3259999999999999933109062766,0.3599999999999999970856645606,0.3599999999999999970856645606,0,0.3599999999999999970856645606,1,0
18,0.291722222222222220869523405,0.3000185185185185174022560861,0.00002883235025148605596225089161,0.005369576356798184,0.3253333333333333267783915587,0.3499999999999999968774977435,0.3499999999999999968774977435,0,0.3499999999999999968774977435,1,0
20,0.2908333333333333319744666102,0.2994444444444444433130192439,0.00003166478052126200486991956584,0.005627146747798746,0.3249999999999999935121341998,0.3399999999999999966693309264,0.3399999999999999966693309264,0,0.3399999999999999966693309264,1,0
