lifeSpan,viability,meanViability,currentVariance,standardDeviation,libidoViability,temp,energy,moisture,pain,stress,libido,glucose,damage,mateCount
0,0.8642857142857142841282528220,0.8642857142857142841282528220,0,0.0,0.8642857142857142841282528220,0.5,1,0.5,0,0.200000000000000011102230246251565404236316680908203125,0,0.5,0,0
0,0.8642857142857142841282528220,0.864285714285714284128252822,0,0.0,0.8642857142857142841282528220,0.5,1,0.5,0,0.200000000000000011102230246251565404236316680908203125,0,0.5,0,0
0,0.8635724285714285698276801340,0.8640479523809523793613952593,7.53742978080120968666123449E-8,0.00027454379943464774,0.8735724285714285700358469511,0.5000070000000000000000745931,0.9949999999999999998959165915,0.4949999999999999998959165914,-0.02000000000000000041633363423,0.1700000000000000104777297949,0.01000000000000000020816681712,0.4949999999999999998959165914,0,0
1,0.8635724285714285698276801340,0.863929071428571426977966478,8.832925524376417601556134615E-8,0.00029720238095238096,0.8735724285714285700358469511,0.5000070000000000000000745931,0.9949999999999999998959165915,0.4949999999999999998959165914,-0.02000000000000000041633363423,0.1700000000000000104777297949,0.01000000000000000020816681712,0.4949999999999999998959165914,0,0
1,0.8635724285714285698276801340,0.8638577428571428555479092092,8.69442525215419537356373457E-8,0.0002948631081053409,0.8735724285714285700358469511,0.5000070000000000000000745931,0.9949999999999999998959165915,0.4949999999999999998959165914,-0.02000000000000000041633363423,0.1700000000000000104777297949,0.01000000000000000020816681712,0.4949999999999999998959165914,0,0
1,0.8657162857142857127294408224,0.8641674999999999984114978113,4.722430752305366787650997193E-7,0.0006871994435609917,0.8857162857142857131457744566,0.5000140000000000000001491862,0.9899999999999999997918331830,0.4899999999999999997918331828,-0.02000000000000000041633363423,0.1400000000000000098532293436,0.02000000000000000041633363424,0.4899999999999999997918331828,0,0
2,0.8657162857142857127294408224,0.8643887551020408147426325271,6.565422825472191093229916733E-7,0.0008102729679232913,0.8857162857142857131457744566,0.5000140000000000000001491862,0.9899999999999999997918331830,0.4899999999999999997918331828,-0.02000000000000000041633363423,0.1400000000000000098532293436,0.02000000000000000041633363424,0.4899999999999999997918331828,0,0
2,0.8657162857142857127294408224,0.864554696428571426990983564,7.431357058145947889014591756E-7,0.0008620531919867792,0.8857162857142857131457744566,0.5000140000000000000001491862,0.9899999999999999997918331830,0.4899999999999999997918331828,-0.02000000000000000041633363423,0.1400000000000000098532293436,0.02000000000000000041633363424,0.4899999999999999997918331828,0,0
2,0.8678600714285714270597389884,0.8649219603174603158875119444,0.000001619731394194591841286338253,0.001272686683435712,0.8978600714285714276842394398,0.5000204999999999999999861222,0.9849999999999999996877497745,0.4849999999999999996877497742,0,0.1300000000000000096450625265,0.03000000000000000062450045136,0.4849999999999999996877497742,0,0
3,0.8678600714285714270597389884,0.8652157714285714270047346488,0.000002156990503775132686247299469,0.0014686696373845047,0.8978600714285714276842394398,0.5000204999999999999999861222,0.9849999999999999996877497745,0.4849999999999999996877497742,0,0.1300000000000000096450625265,0.03000000000000000062450045136,0.4849999999999999996877497742,0,0
3,0.8678600714285714270597389884,0.8654561623376623361006441342,0.000002486243995918790818519028857,0.0015767827992208662,0.8978600714285714276842394398,0.5000204999999999999999861222,0.9849999999999999996877497745,0.4849999999999999996877497742,0,0.1300000000000000096450625265,0.03000000000000000062450045136,0.4849999999999999996877497742,0,0
3,0.8671466428571428556162412556,0.8655970357142857127269438942,0.000002479163854358381387865285378,0.0015745360759151824,0.9071466428571428564489085241,0.5000264999999999999995854011,0.9799999999999999995836663660,0.4799999999999999995836663656,0,0.1200000000000000094368957094,0.04000000000000000083266726848,0.4799999999999999995836663656,0,0
4,0.8671466428571428556162412556,0.8657162362637362621799667685,0.000002445848405750894782106449705,0.0015639208438251902,0.9071466428571428564489085241,0.5000264999999999999995854011,0.9799999999999999995836663660,0.4799999999999999995836663656,0,0.1200000000000000094368957094,0.04000000000000000083266726848,0.4799999999999999995836663656,0,0
4,0.8671466428571428556162412556,0.8658184081632653045682720893,0.000002397159762627258850766874982,0.0015482763844440884,0.9071466428571428564489085241,0.5000264999999999999995854011,0.9799999999999999995836663660,0.4799999999999999995836663656,0,0.1200000000000000094368957094,0.04000000000000000083266726848,0.4799999999999999995836663656,0,0
4,0.8664331428571428556014358863,0.865859390476190474637149676,0.000002259295231428676666766339705,0.0015030952170200916,0.9164331428571428566422699719,0.5000320000000000000000312250,0.9749999999999999994795829575,0.4749999999999999994795829570,0,0.1100000000000000092287288923,0.05000000000000000104083408560,0.4749999999999999994795829570,0,0
5,0.8664331428571428556014358863,0.8658952499999999984474175644,0.000002136172324824716008496944509,0.0014615650258625909,0.9164331428571428566422699719,0.5000320000000000000000312250,0.9749999999999999994795829575,0.4749999999999999994795829570,0,0.1100000000000000092287288923,0.05000000000000000104083408560,0.4749999999999999994795829570,0,0
5,0.8664331428571428556014358863,0.8659268907563025194564774659,0.00000202559108157651235369644038,0.0014232326168186677,0.9164331428571428566422699719,0.5000320000000000000000312250,0.9749999999999999994795829575,0.4749999999999999994795829570,0,0.1100000000000000092287288923,0.05000000000000000104083408560,0.4749999999999999994795829570,0,0
5,0.8657195714285714270151679946,0.8659153730158730143208491617,0.000001915188147132807284892960813,0.0013839032289624904,0.9257195714285714282641688973,0.5000370000000000000002393918,0.9699999999999999993754995490,0.4699999999999999993754995484,0,0.1000000000000000090205620752,0.06000000000000000124900090272,0.4699999999999999993754995484,0,0
6,0.8657195714285714270151679946,0.8659050676691729307784448895,0.000001816199763350938005331712083,0.0013476645589132845,0.9257195714285714282641688973,0.5000370000000000000002393918,0.9699999999999999993754995490,0.4699999999999999993754995484,0,0.1000000000000000090205620752,0.06000000000000000124900090272,0.4699999999999999993754995484,0,0
6,0.8657195714285714270151679946,0.8658957928571428555902810445,0.000001726942474777778860232095702,0.00131413183310419,0.9257195714285714282641688973,0.5000370000000000000002393918,0.9699999999999999993754995490,0.4699999999999999993754995484,0,0.1000000000000000090205620752,0.06000000000000000124900090272,0.4699999999999999993754995484,0,0
6,0.8650059285714285698574375805,0.8658534183673469372220504033,0.000001678908973797206341410768360,0.001295727198833615,0.9350059285714285713146053003,0.5000415000000000000002099015,0.9649999999999999992714161405,0.4649999999999999992714161398,0,0.09000000000000000881239525808,0.07000000000000000145716771984,0.4649999999999999992714161398,0,0
9,0.8650059285714285698574375805,0.8658148961038961023418407295,0.000001632341678105815517905436821,0.001277631276270981,0.9350059285714285713146053003,0.5000415000000000000002099015,0.9649999999999999992714161405,0.4649999999999999992714161398,0,0.09000000000000000881239525808,0.07000000000000000145716771984,0.4649999999999999992714161398,0,0
9,0.8650059285714285698574375805,0.8657797236024844704946927665,0.000001587403289931075809808622946,0.0012599219380307163,0.9350059285714285713146053003,0.5000415000000000000002099015,0.9649999999999999992714161405,0.4649999999999999992714161398,0,0.09000000000000000881239525808,0.07000000000000000145716771984,0.4649999999999999992714161398,0,0
9,0.8650059285714285698574375805,0.8657474821428571413014738004,0.000001544174056988050543178723845,0.001242648002045652,0.9350059285714285713146053003,0.5000415000000000000002099015,0.9649999999999999992714161405,0.4649999999999999992714161398,0,0.09000000000000000881239525808,0.07000000000000000145716771984,0.4649999999999999992714161398,0,0
