lifeSpan,viability,meanViability,currentVariance,standardDeviation,temp,energy,moisture,pain,stress,libido,glucose
0,0.3371428571428571421929915834,0.3371428571428571421929915834,0,0.0,0.3649999999999999954550244929,0.4899999999999999997918331829,0.4899999999999999997918331829,0,0.4899999999999999997918331829,1,0.5
1,0.3357142857142857135918248953,0.3364285714285714278924082394,2.551020408163265412330008878E-7,0.0005050762722761054,0.3599999999999999953509410843,0.4799999999999999995836663658,0.4799999999999999995836663658,0,0.4799999999999999995836663658,1,0.5
2,0.3343333333333333326001235441,0.3357301587301587294616466743,8.20441756949693498351896255E-7,0.0009057824004415705,0.3553333333333333285131150347,0.4699999999999999993754995487,0.4699999999999999993754995487,0,0.4699999999999999993754995487,1,0.5
3,0.332999999999999999217887530,0.3350476190476190469007068882,0.000001663517258755354089280793455,0.001289774111523159,0.3509999999999999949415463440,0.4599999999999999991673327316,0.4599999999999999991673327316,0,0.4599999999999999991673327316,1,0.5
4,0.3317142857142857134451168529,0.3343809523809523802095888812,0.000002753036029226505597972576062,0.0016592275399192559,0.3469999999999999946362350122,0.4499999999999999989591659145,0.4499999999999999989591659145,0,0.4499999999999999989591659145,1,0.5
5,0.3304761904761904752818115124,0.333730158730158729388292653,0.00000405891492399428937440890374,0.002014674892878325,0.3433333333333333275971810394,0.4399999999999999987509990974,0.4399999999999999987509990974,0,0.4399999999999999987509990974,1,0.5
6,0.3292857142857142847279715093,0.3330952380952380944368182039,0.000005552280171327790834600211581,0.0023563276875952104,0.3399999999999999938243844255,0.4299999999999999985428322803,0.4299999999999999985428322803,0,0.4299999999999999985428322803,1,0.5
7,0.3281428571428571418628984877,0.3324761904761904753650782394,0.000007205467372134039385414360586,0.0026843001643136037,0.3369999999999999938729566828,0.4199999999999999983346654632,0.4199999999999999983346654632,0,0.4199999999999999983346654632,1,0.5
8,0.3270476190476190466072908031,0.3318730158730158721697685242,0.000008992021499958008591887780476,0.0029986699551564537,0.3343333333333333271877862991,0.4099999999999999981264986461,0.4099999999999999981264986461,0,0.4099999999999999981264986461,1,0.5
9,0.3259999999999999989611484554,0.3312857142857142848489065173,0.00001088669690098261607934936174,0.00329949949249619,0.3319999999999999937688732743,0.3999999999999999979183318290,0.3999999999999999979183318290,0,0.3999999999999999979183318290,1,0.5
10,0.3249999999999999989244714447,0.3307142857142857134012306016,0.00001286545729402872353593008371,0.0035868450334561046,0.3299999999999999936162176084,0.3899999999999999977101650119,0.3899999999999999977101650119,0,0.3899999999999999977101650119,1,0.5
11,0.3240476190476190464972597713,0.3301587301587301578258996991,0.00001490547577055513671385517809,0.0038607610351529317,0.3283333333333333267298193014,0.3799999999999999975019981948,0.3799999999999999975019981948,0,0.3799999999999999975019981948,1,0.5
