lifeSpan,viability,meanViability,currentVariance,standardDeviation,temp,energy,moisture,pain,stress,libido,glucose
0,0,0,0,0.0,0.3649999999999999954550244929,0.4899999999999999997918331829,0.4899999999999999997918331829,1,0.5100000000000000002081668171,1,0
1,0,0,0,0.0,0.3599999999999999953509410843,0.4799999999999999995836663658,0.4799999999999999995836663658,1,0.5200000000000000004163336342,1,0
2,0,0,0,0.0,0.3553333333333333285131150347,0.4699999999999999993754995487,0.4699999999999999993754995487,1,0.5300000000000000006245004513,1,0
3,0,0,0,0.0,0.3509999999999999949415463440,0.4599999999999999991673327316,0.4599999999999999991673327316,1,0.5400000000000000008326672684,1,0
4,0,0,0,0.0,0.3469999999999999946362350122,0.4499999999999999989591659145,0.4499999999999999989591659145,1,0.5500000000000000010408340855,1,0
5,0,0,0,0.0,0.3433333333333333275971810394,0.4399999999999999987509990974,0.4399999999999999987509990974,1,0.5600000000000000012490009026,1,0
6,0,0,0,0.0,0.3399999999999999938243844255,0.4299999999999999985428322803,0.4299999999999999985428322803,1,0.5700000000000000014571677197,1,0
7,0,0,0,0.0,0.3369999999999999938729566828,0.4199999999999999983346654632,0.4199999999999999983346654632,1,0.5800000000000000016653345368,1,0
8,0,0,0,0.0,0.3343333333333333271877862991,0.4099999999999999981264986461,0.4099999999999999981264986461,1,0.5900000000000000018735013539,1,0
9,0,0,0,0.0,0.3319999999999999937688732743,0.3999999999999999979183318290,0.3999999999999999979183318290,1,0.6000000000000000020816681710,1,0
10,0,0,0,0.0,0.3299999999999999936162176084,0.3899999999999999977101650119,0.3899999999999999977101650119,1,0.6100000000000000022898349881,1,0
11,0,0,0,0.0,0.3283333333333333267298193014,0.3799999999999999975019981948,0.3799999999999999975019981948,1,0.6200000000000000024980018052,1,0
12,0,0,0,0.0,0.3269999999999999931096783534,0.3699999999999999972938313777,0.3699999999999999972938313777,1,0.6300000000000000027061686223,1,0
13,0,0,0,0.0,0.3259999999999999933109062766,0.3599999999999999970856645606,0.3599999999999999970856645606,1,0.6400000000000000029143354394,1,0
14,0,0,0,0.0,0.3253333333333333267783915587,0.3499999999999999968774977435,0.3499999999999999968774977435,1,0.6500000000000000031225022565,1,0
15,0,0,0,0.0,0.3249999999999999935121341998,0.3399999999999999966693309264,0.3399999999999999966693309264,1,0.6600000000000000033306690736,1,0
16,0,0,0,0.0,0.3249999999999999935121341998,0.3299999999999999964611641093,0.3299999999999999964611641093,1,0.6700000000000000035388358907,1,0
17,0,0,0,0.0,0.3253333333333333267783915587,0.3199999999999999962529972922,0.3199999999999999962529972922,1,0.6800000000000000037470027078,1,0
18,0,0,0,0.0,0.3259999999999999933109062766,0.3099999999999999960448304751,0.3099999999999999960448304751,1,0.6900000000000000039551695249,1,0
19,0,0,0,0.0,0.3269999999999999931096783534,0.2999999999999999958366636580,0.2999999999999999958366636580,1,0.7000000000000000041633363420,1,0
20,0,0,0,0.0,0.3283333333333333261747077891,0.2899999999999999956284968409,0.2899999999999999956284968409,1,0.7100000000000000043715031591,1,0
21,0,0,0,0.0,0.3299999999999999925059945837,0.2799999999999999954203300238,0.2799999999999999954203300238,1,0.7200000000000000045796699762,1,0
22,0,0,0,0.0,0.3319999999999999921035387373,0.2699999999999999952121632067,0.2699999999999999952121632067,1,0.7300000000000000047878367933,1,0
23,0,0,0,0.0,0.3343333333333333249673402498,0.2599999999999999950039963896,0.2599999999999999950039963896,1,0.7400000000000000049960036104,1,0
24,0,0,0,0.0,0.3369999999999999922076221459,0.2499999999999999947958295725,0.2499999999999999947958295725,1,0.7500000000000000052041704275,1,0
25,0,0,0,0.0,0.3399999999999999927141614009,0.2399999999999999945876627554,0.2399999999999999945876627554,1,0.7600000000000000054123372446,1,0
26,0,0,0,0.0,0.3433333333333333264869580148,0.2299999999999999943794959383,0.2299999999999999943794959383,1,0.7700000000000000056205040617,1,0
27,0,0,0,0.0,0.3469999999999999935260119876,0.2199999999999999941713291212,0.2199999999999999941713291212,1,0.7800000000000000058286708788,1,0
28,0,0,0,0.0,0.3509999999999999938313233194,0.2099999999999999939631623041,0.2099999999999999939631623041,1,0.7900000000000000060368376959,1,0
29,0,0,0,0.0,0.3553333333333333274028920101,0.1999999999999999937549954870,0.1999999999999999937549954870,1,0.8000000000000000062450045130,1,0
30,0,0,0,0.0,0.3599999999999999942407180597,0.1899999999999999935468286699,0.1899999999999999935468286699,1,0.8100000000000000064531713301,1,0
32,0,0,0,0.0,0.3646666666666666610785441093,0.1799999999999999933386618528,0.1799999999999999933386618528,1,0.8200000000000000066613381472,1,0
33,0,0,0,0.0,0.3693333333333333279163701589,0.1699999999999999931304950357,0.1699999999999999931304950357,1,0.8300000000000000068695049643,1,0
34,0,0,0,0.0,0.3739999999999999947541962085,0.1599999999999999929223282186,0.1599999999999999929223282186,1,0.8400000000000000070776717814,1,0
35,0,0,0,0.0,0.3786666666666666615920222581,0.1499999999999999927141614015,0.1499999999999999927141614015,1,0.8500000000000000072858385985,1,0
36,0,0,0,0.0,0.3833333333333333284298483077,0.1399999999999999925059945844,0.1399999999999999925059945844,1,0.8600000000000000074940054156,1,0
37,0,0,0,0.0,0.3879999999999999952676743573,0.1299999999999999922978277673,0.1299999999999999922978277673,1,0.8700000000000000077021722327,1,0
38,0,0,0,0.0,0.3926666666666666621055004069,0.1199999999999999920896609502,0.1199999999999999920896609502,1,0.8800000000000000079103390498,1,0
